Number of Queens: 7
Solution 1: (1, 1), (3, 2), (5, 3), (7, 4), (2, 5), (4, 6), (6, 7)
Solution 2: (1, 1), (4, 2), (7, 3), (3, 4), (6, 5), (2, 6), (5, 7)
Solution 3: (1, 1), (5, 2), (2, 3), (6, 4), (3, 5), (7, 6), (4, 7)
Solution 4: (1, 1), (6, 2), (4, 3), (2, 4), (7, 5), (5, 6), (3, 7)
Solution 5: (2, 1), (4, 2), (1, 3), (7, 4), (5, 5), (3, 6), (6, 7)
Solution 6: (2, 1), (4, 2), (6, 3), (1, 4), (3, 5), (5, 6), (7, 7)
Solution 7: (2, 1), (5, 2), (1, 3), (4, 4), (7, 5), (3, 6), (6, 7)
Solution 8: (2, 1), (5, 2), (3, 3), (1, 4), (7, 5), (4, 6), (6, 7)
Solution 9: (2, 1), (5, 2), (7, 3), (4, 4), (1, 5), (3, 6), (6, 7)
Solution 10: (2, 1), (6, 2), (3, 3), (7, 4), (4, 5), (1, 6), (5, 7)
Solution 11: (2, 1), (7, 2), (5, 3), (3, 4), (1, 5), (6, 6), (4, 7)
Solution 12: (3, 1), (1, 2), (6, 3), (2, 4), (5, 5), (7, 6), (4, 7)
Solution 13: (3, 1), (1, 2), (6, 3), (4, 4), (2, 5), (7, 6), (5, 7)
Solution 14: (3, 1), (5, 2), (7, 3), (2, 4), (4, 5), (6, 6), (1, 7)
Solution 15: (3, 1), (6, 2), (2, 3), (5, 4), (1, 5), (4, 6), (7, 7)
Solution 16: (3, 1), (7, 2), (2, 3), (4, 4), (6, 5), (1, 6), (5, 7)
Solution 17: (3, 1), (7, 2), (4, 3), (1, 4), (5, 5), (2, 6), (6, 7)
Solution 18: (4, 1), (1, 2), (3, 3), (6, 4), (2, 5), (7, 6), (5, 7)
Solution 19: (4, 1), (1, 2), (5, 3), (2, 4), (6, 5), (3, 6), (7, 7)
Solution 20: (4, 1), (2, 2), (7, 3), (5, 4), (3, 5), (1, 6), (6, 7)
Solution 21: (4, 1), (6, 2), (1, 3), (3, 4), (5, 5), (7, 6), (2, 7)
Solution 22: (4, 1), (7, 2), (3, 3), (6, 4), (2, 5), (5, 6), (1, 7)
Solution 23: (4, 1), (7, 2), (5, 3), (2, 4), (6, 5), (1, 6), (3, 7)
Solution 24: (5, 1), (1, 2), (4, 3), (7, 4), (3, 5), (6, 6), (2, 7)
Solution 25: (5, 1), (1, 2), (6, 3), (4, 4), (2, 5), (7, 6), (3, 7)
Solution 26: (5, 1), (2, 2), (6, 3), (3, 4), (7, 5), (4, 6), (1, 7)
Solution 27: (5, 1), (3, 2), (1, 3), (6, 4), (4, 5), (2, 6), (7, 7)
Solution 28: (5, 1), (7, 2), (2, 3), (4, 4), (6, 5), (1, 6), (3, 7)
Solution 29: (5, 1), (7, 2), (2, 3), (6, 4), (3, 5), (1, 6), (4, 7)
Solution 30: (6, 1), (1, 2), (3, 3), (5, 4), (7, 5), (2, 6), (4, 7)
Solution 31: (6, 1), (2, 2), (5, 3), (1, 4), (4, 5), (7, 6), (3, 7)
Solution 32: (6, 1), (3, 2), (1, 3), (4, 4), (7, 5), (5, 6), (2, 7)
Solution 33: (6, 1), (3, 2), (5, 3), (7, 4), (1, 5), (4, 6), (2, 7)
Solution 34: (6, 1), (3, 2), (7, 3), (4, 4), (1, 5), (5, 6), (2, 7)
Solution 35: (6, 1), (4, 2), (2, 3), (7, 4), (5, 5), (3, 6), (1, 7)
Solution 36: (6, 1), (4, 2), (7, 3), (1, 4), (3, 5), (5, 6), (2, 7)
Solution 37: (7, 1), (2, 2), (4, 3), (6, 4), (1, 5), (3, 6), (5, 7)
Solution 38: (7, 1), (3, 2), (6, 3), (2, 4), (5, 5), (1, 6), (4, 7)
Solution 39: (7, 1), (4, 2), (1, 3), (5, 4), (2, 5), (6, 6), (3, 7)
Solution 40: (7, 1), (5, 2), (3, 3), (1, 4), (6, 5), (4, 6), (2, 7)
Total number of solutions: 40
