Number of Queens: 9
Solution 1: (1, 1), (3, 2), (6, 3), (8, 4), (2, 5), (4, 6), (9, 7), (7, 8), (5, 9)
Solution 2: (1, 1), (3, 2), (7, 3), (2, 4), (8, 5), (5, 6), (9, 7), (4, 8), (6, 9)
Solution 3: (1, 1), (3, 2), (8, 3), (6, 4), (9, 5), (2, 6), (5, 7), (7, 8), (4, 9)
Solution 4: (1, 1), (4, 2), (2, 3), (8, 4), (6, 5), (9, 6), (3, 7), (5, 8), (7, 9)
Solution 5: (1, 1), (4, 2), (6, 3), (3, 4), (9, 5), (2, 6), (8, 7), (5, 8), (7, 9)
Solution 6: (1, 1), (4, 2), (6, 3), (8, 4), (2, 5), (5, 6), (3, 7), (9, 8), (7, 9)
Solution 7: (1, 1), (4, 2), (7, 3), (3, 4), (8, 5), (2, 6), (5, 7), (9, 8), (6, 9)
Solution 8: (1, 1), (4, 2), (7, 3), (9, 4), (2, 5), (5, 6), (8, 7), (6, 8), (3, 9)
Solution 9: (1, 1), (4, 2), (8, 3), (3, 4), (9, 5), (7, 6), (5, 7), (2, 8), (6, 9)
Solution 10: (1, 1), (5, 2), (2, 3), (6, 4), (9, 5), (3, 6), (8, 7), (4, 8), (7, 9)
Solution 11: (1, 1), (5, 2), (7, 3), (2, 4), (6, 5), (3, 6), (9, 7), (4, 8), (8, 9)
Solution 12: (1, 1), (5, 2), (7, 3), (9, 4), (3, 5), (8, 6), (2, 7), (4, 8), (6, 9)
Solution 13: (1, 1), (5, 2), (7, 3), (9, 4), (4, 5), (2, 6), (8, 7), (6, 8), (3, 9)
Solution 14: (1, 1), (5, 2), (9, 3), (2, 4), (6, 5), (8, 6), (3, 7), (7, 8), (4, 9)
Solution 15: (1, 1), (5, 2), (9, 3), (6, 4), (4, 5), (2, 6), (8, 7), (3, 8), (7, 9)
Solution 16: (1, 1), (6, 2), (2, 3), (9, 4), (7, 5), (4, 6), (8, 7), (3, 8), (5, 9)
Solution 17: (1, 1), (6, 2), (4, 3), (2, 4), (7, 5), (9, 6), (3, 7), (5, 8), (8, 9)
Solution 18: (1, 1), (6, 2), (4, 3), (2, 4), (8, 5), (3, 6), (9, 7), (7, 8), (5, 9)
Solution 19: (1, 1), (6, 2), (8, 3), (3, 4), (7, 5), (4, 6), (2, 7), (9, 8), (5, 9)
Solution 20: (1, 1), (6, 2), (8, 3), (5, 4), (2, 5), (4, 6), (9, 7), (7, 8), (3, 9)
Solution 21: (1, 1), (6, 2), (9, 3), (5, 4), (2, 5), (8, 6), (3, 7), (7, 8), (4, 9)
Solution 22: (1, 1), (7, 2), (4, 3), (6, 4), (9, 5), (2, 6), (5, 7), (3, 8), (8, 9)
Solution 23: (1, 1), (7, 2), (4, 3), (8, 4), (3, 5), (5, 6), (9, 7), (2, 8), (6, 9)
Solution 24: (1, 1), (7, 2), (4, 3), (8, 4), (3, 5), (9, 6), (6, 7), (2, 8), (5, 9)
Solution 25: (1, 1), (7, 2), (5, 3), (8, 4), (2, 5), (9, 6), (3, 7), (6, 8), (4, 9)
Solution 26: (1, 1), (8, 2), (4, 3), (2, 4), (7, 5), (9, 6), (6, 7), (3, 8), (5, 9)
Solution 27: (1, 1), (8, 2), (5, 3), (3, 4), (6, 5), (9, 6), (2, 7), (4, 8), (7, 9)
Solution 28: (1, 1), (8, 2), (5, 3), (3, 4), (9, 5), (7, 6), (2, 7), (4, 8), (6, 9)
Solution 29: (2, 1), (4, 2), (1, 3), (7, 4), (9, 5), (6, 6), (3, 7), (5, 8), (8, 9)
Solution 30: (2, 1), (4, 2), (7, 3), (1, 4), (3, 5), (9, 6), (6, 7), (8, 8), (5, 9)
Solution 31: (2, 1), (4, 2), (8, 3), (3, 4), (9, 5), (6, 6), (1, 7), (5, 8), (7, 9)
Solution 32: (2, 1), (4, 2), (9, 3), (7, 4), (3, 5), (1, 6), (6, 7), (8, 8), (5, 9)
Solution 33: (2, 1), (4, 2), (9, 3), (7, 4), (5, 5), (3, 6), (1, 7), (6, 8), (8, 9)
Solution 34: (2, 1), (5, 2), (7, 3), (1, 4), (3, 5), (8, 6), (6, 7), (4, 8), (9, 9)
Solution 35: (2, 1), (5, 2), (7, 3), (4, 4), (1, 5), (3, 6), (9, 7), (6, 8), (8, 9)
Solution 36: (2, 1), (5, 2), (7, 3), (9, 4), (3, 5), (6, 6), (4, 7), (1, 8), (8, 9)
Solution 37: (2, 1), (5, 2), (7, 3), (9, 4), (4, 5), (8, 6), (1, 7), (3, 8), (6, 9)
Solution 38: (2, 1), (5, 2), (8, 3), (1, 4), (3, 5), (6, 6), (9, 7), (7, 8), (4, 9)
Solution 39: (2, 1), (5, 2), (8, 3), (1, 4), (9, 5), (6, 6), (3, 7), (7, 8), (4, 9)
Solution 40: (2, 1), (5, 2), (8, 3), (6, 4), (9, 5), (3, 6), (1, 7), (4, 8), (7, 9)
