Number of Queens: 8
Solution 1: (1, 1), (5, 2), (8, 3), (6, 4), (3, 5), (7, 6), (2, 7), (4, 8)
Solution 2: (1, 1), (6, 2), (8, 3), (3, 4), (7, 5), (4, 6), (2, 7), (5, 8)
Solution 3: (1, 1), (7, 2), (4, 3), (6, 4), (8, 5), (2, 6), (5, 7), (3, 8)
Solution 4: (1, 1), (7, 2), (5, 3), (8, 4), (2, 5), (4, 6), (6, 7), (3, 8)
Solution 5: (2, 1), (4, 2), (6, 3), (8, 4), (3, 5), (1, 6), (7, 7), (5, 8)
Solution 6: (2, 1), (5, 2), (7, 3), (1, 4), (3, 5), (8, 6), (6, 7), (4, 8)
Solution 7: (2, 1), (5, 2), (7, 3), (4, 4), (1, 5), (8, 6), (6, 7), (3, 8)
Solution 8: (2, 1), (6, 2), (1, 3), (7, 4), (4, 5), (8, 6), (3, 7), (5, 8)
Solution 9: (2, 1), (6, 2), (8, 3), (3, 4), (1, 5), (4, 6), (7, 7), (5, 8)
Solution 10: (2, 1), (7, 2), (3, 3), (6, 4), (8, 5), (5, 6), (1, 7), (4, 8)
Solution 11: (2, 1), (7, 2), (5, 3), (8, 4), (1, 5), (4, 6), (6, 7), (3, 8)
Solution 12: (2, 1), (8, 2), (6, 3), (1, 4), (3, 5), (5, 6), (7, 7), (4, 8)
Solution 13: (3, 1), (1, 2), (7, 3), (5, 4), (8, 5), (2, 6), (4, 7), (6, 8)
Solution 14: (3, 1), (5, 2), (2, 3), (8, 4), (1, 5), (7, 6), (4, 7), (6, 8)
Solution 15: (3, 1), (5, 2), (2, 3), (8, 4), (6, 5), (4, 6), (7, 7), (1, 8)
Solution 16: (3, 1), (5, 2), (7, 3), (1, 4), (4, 5), (2, 6), (8, 7), (6, 8)
Solution 17: (3, 1), (5, 2), (8, 3), (4, 4), (1, 5), (7, 6), (2, 7), (6, 8)
Solution 18: (3, 1), (6, 2), (2, 3), (5, 4), (8, 5), (1, 6), (7, 7), (4, 8)
Solution 19: (3, 1), (6, 2), (2, 3), (7, 4), (1, 5), (4, 6), (8, 7), (5, 8)
Solution 20: (3, 1), (6, 2), (2, 3), (7, 4), (5, 5), (1, 6), (8, 7), (4, 8)
Solution 21: (3, 1), (6, 2), (4, 3), (1, 4), (8, 5), (5, 6), (7, 7), (2, 8)
Solution 22: (3, 1), (6, 2), (4, 3), (2, 4), (8, 5), (5, 6), (7, 7), (1, 8)
Solution 23: (3, 1), (6, 2), (8, 3), (1, 4), (4, 5), (7, 6), (5, 7), (2, 8)
Solution 24: (3, 1), (6, 2), (8, 3), (1, 4), (5, 5), (7, 6), (2, 7), (4, 8)
Solution 25: (3, 1), (6, 2), (8, 3), (2, 4), (4, 5), (1, 6), (7, 7), (5, 8)
Solution 26: (3, 1), (7, 2), (2, 3), (8, 4), (5, 5), (1, 6), (4, 7), (6, 8)
Solution 27: (3, 1), (7, 2), (2, 3), (8, 4), (6, 5), (4, 6), (1, 7), (5, 8)
Solution 28: (3, 1), (8, 2), (4, 3), (7, 4), (1, 5), (6, 6), (2, 7), (5, 8)
Solution 29: (4, 1), (1, 2), (5, 3), (8, 4), (2, 5), (7, 6), (3, 7), (6, 8)
Solution 30: (4, 1), (1, 2), (5, 3), (8, 4), (6, 5), (3, 6), (7, 7), (2, 8)
Solution 31: (4, 1), (2, 2), (5, 3), (8, 4), (6, 5), (1, 6), (3, 7), (7, 8)
Solution 32: (4, 1), (2, 2), (7, 3), (3, 4), (6, 5), (8, 6), (1, 7), (5, 8)
Solution 33: (4, 1), (2, 2), (7, 3), (3, 4), (6, 5), (8, 6), (5, 7), (1, 8)
Solution 34: (4, 1), (2, 2), (7, 3), (5, 4), (1, 5), (8, 6), (6, 7), (3, 8)
Solution 35: (4, 1), (2, 2), (8, 3), (5, 4), (7, 5), (1, 6), (3, 7), (6, 8)
Solution 36: (4, 1), (2, 2), (8, 3), (6, 4), (1, 5), (3, 6), (5, 7), (7, 8)
Solution 37: (4, 1), (6, 2), (1, 3), (5, 4), (2, 5), (8, 6), (3, 7), (7, 8)
Solution 38: (4, 1), (6, 2), (8, 3), (2, 4), (7, 5), (1, 6), (3, 7), (5, 8)
Solution 39: (4, 1), (6, 2), (8, 3), (3, 4), (1, 5), (7, 6), (5, 7), (2, 8)
Solution 40: (4, 1), (7, 2), (1, 3), (8, 4), (5, 5), (2, 6), (6, 7), (3, 8)
Solution 41: (4, 1), (7, 2), (3, 3), (8, 4), (2, 5), (5, 6), (1, 7), (6, 8)
Solution 42: (4, 1), (7, 2), (5, 3), (2, 4), (6, 5), (1, 6), (3, 7), (8, 8)
Solution 43: (4, 1), (7, 2), (5, 3), (3, 4), (1, 5), (6, 6), (8, 7), (2, 8)
Solution 44: (4, 1), (8, 2), (1, 3), (3, 4), (6, 5), (2, 6), (7, 7), (5, 8)
Solution 45: (4, 1), (8, 2), (1, 3), (5, 4), (7, 5), (2, 6), (6, 7), (3, 8)
Solution 46: (4, 1), (8, 2), (5, 3), (3, 4), (1, 5), (7, 6), (2, 7), (6, 8)
Solution 47: (5, 1), (1, 2), (4, 3), (6, 4), (8, 5), (2, 6), (7, 7), (3, 8)
Solution 48: (5, 1), (1, 2), (8, 3), (4, 4), (2, 5), (7, 6), (3, 7), (6, 8)
Solution 49: (5, 1), (1, 2), (8, 3), (6, 4), (3, 5), (7, 6), (2, 7), (4, 8)
Solution 50: (5, 1), (2, 2), (4, 3), (6, 4), (8, 5), (3, 6), (1, 7), (7, 8)
Solution 51: (5, 1), (2, 2), (4, 3), (7, 4), (3, 5), (8, 6), (6, 7), (1, 8)
Solution 52: (5, 1), (2, 2), (6, 3), (1, 4), (7, 5), (4, 6), (8, 7), (3, 8)
Solution 53: (5, 1), (2, 2), (8, 3), (1, 4), (4, 5), (7, 6), (3, 7), (6, 8)
Solution 54: (5, 1), (3, 2), (1, 3), (6, 4), (8, 5), (2, 6), (4, 7), (7, 8)
Solution 55: (5, 1), (3, 2), (1, 3), (7, 4), (2, 5), (8, 6), (6, 7), (4, 8)
Solution 56: (5, 1), (3, 2), (8, 3), (4, 4), (7, 5), (1, 6), (6, 7), (2, 8)
Solution 57: (5, 1), (7, 2), (1, 3), (3, 4), (8, 5), (6, 6), (4, 7), (2, 8)
Solution 58: (5, 1), (7, 2), (1, 3), (4, 4), (2, 5), (8, 6), (6, 7), (3, 8)
Solution 59: (5, 1), (7, 2), (2, 3), (4, 4), (8, 5), (1, 6), (3, 7), (6, 8)
Solution 60: (5, 1), (7, 2), (2, 3), (6, 4), (3, 5), (1, 6), (4, 7), (8, 8)
Solution 61: (5, 1), (7, 2), (2, 3), (6, 4), (3, 5), (1, 6), (8, 7), (4, 8)
Solution 62: (5, 1), (7, 2), (4, 3), (1, 4), (3, 5), (8, 6), (6, 7), (2, 8)
Solution 63: (5, 1), (8, 2), (4, 3), (1, 4), (3, 5), (6, 6), (2, 7), (7, 8)
Solution 64: (5, 1), (8, 2), (4, 3), (1, 4), (7, 5), (2, 6), (6, 7), (3, 8)
Solution 65: (6, 1), (1, 2), (5, 3), (2, 4), (8, 5), (3, 6), (7, 7), (4, 8)
Solution 66: (6, 1), (2, 2), (7, 3), (1, 4), (3, 5), (5, 6), (8, 7), (4, 8)
Solution 67: (6, 1), (2, 2), (7, 3), (1, 4), (4, 5), (8, 6), (5, 7), (3, 8)
Solution 68: (6, 1), (3, 2), (1, 3), (7, 4), (5, 5), (8, 6), (2, 7), (4, 8)
Solution 69: (6, 1), (3, 2), (1, 3), (8, 4), (4, 5), (2, 6), (7, 7), (5, 8)
Solution 70: (6, 1), (3, 2), (1, 3), (8, 4), (5, 5), (2, 6), (4, 7), (7, 8)
Solution 71: (6, 1), (3, 2), (5, 3), (7, 4), (1, 5), (4, 6), (2, 7), (8, 8)
Solution 72: (6, 1), (3, 2), (5, 3), (8, 4), (1, 5), (4, 6), (2, 7), (7, 8)
Solution 73: (6, 1), (3, 2), (7, 3), (2, 4), (4, 5), (8, 6), (1, 7), (5, 8)
Solution 74: (6, 1), (3, 2), (7, 3), (2, 4), (8, 5), (5, 6), (1, 7), (4, 8)
Solution 75: (6, 1), (3, 2), (7, 3), (4, 4), (1, 5), (8, 6), (2, 7), (5, 8)
Solution 76: (6, 1), (4, 2), (1, 3), (5, 4), (8, 5), (2, 6), (7, 7), (3, 8)
Solution 77: (6, 1), (4, 2), (2, 3), (8, 4), (5, 5), (7, 6), (1, 7), (3, 8)
Solution 78: (6, 1), (4, 2), (7, 3), (1, 4), (3, 5), (5, 6), (2, 7), (8, 8)
Solution 79: (6, 1), (4, 2), (7, 3), (1, 4), (8, 5), (2, 6), (5, 7), (3, 8)
Solution 80: (6, 1), (8, 2), (2, 3), (4, 4), (1, 5), (7, 6), (5, 7), (3, 8)
Solution 81: (7, 1), (1, 2), (3, 3), (8, 4), (6, 5), (4, 6), (2, 7), (5, 8)
Solution 82: (7, 1), (2, 2), (4, 3), (1, 4), (8, 5), (5, 6), (3, 7), (6, 8)
Solution 83: (7, 1), (2, 2), (6, 3), (3, 4), (1, 5), (4, 6), (8, 7), (5, 8)
Solution 84: (7, 1), (3, 2), (1, 3), (6, 4), (8, 5), (5, 6), (2, 7), (4, 8)
Solution 85: (7, 1), (3, 2), (8, 3), (2, 4), (5, 5), (1, 6), (6, 7), (4, 8)
Solution 86: (7, 1), (4, 2), (2, 3), (5, 4), (8, 5), (1, 6), (3, 7), (6, 8)
Solution 87: (7, 1), (4, 2), (2, 3), (8, 4), (6, 5), (1, 6), (3, 7), (5, 8)
Solution 88: (7, 1), (5, 2), (3, 3), (1, 4), (6, 5), (8, 6), (2, 7), (4, 8)
Solution 89: (8, 1), (2, 2), (4, 3), (1, 4), (7, 5), (5, 6), (3, 7), (6, 8)
Solution 90: (8, 1), (2, 2), (5, 3), (3, 4), (1, 5), (7, 6), (4, 7), (6, 8)
Solution 91: (8, 1), (3, 2), (1, 3), (6, 4), (2, 5), (5, 6), (7, 7), (4, 8)
Solution 92: (8, 1), (4, 2), (1, 3), (3, 4), (6, 5), (2, 6), (7, 7), (5, 8)
Total number of solutions: 92
